file,lat,lon,rr,year,month,day,hour,minute,second
polPhs_PAZ1.2018.130.23.29.G07_2010.2640_V05.nc,5.12,-71.70,0.17,2018,5,10,23,29,6
polPhs_PAZ1.2018.130.23.12.G16_2010.2640_V05.nc,-59.94,-57.74,2.38,2018,5,10,23,12,50
polPhs_PAZ1.2018.131.02.25.G11_2010.2640_V05.nc,-51.93,-122.40,4.69,2018,5,11,2,25,2
polPhs_PAZ1.2018.131.01.57.G23_2010.2640_V05.nc,-24.23,53.48,0.12,2018,5,11,1,57,32
polPhs_PAZ1.2018.131.04.41.G26_2010.2640_V05.nc,71.15,53.51,0.12,2018,5,11,4,41,21
polPhs_PAZ1.2018.131.02.11.G07_2010.2640_V05.nc,-65.13,-14.25,0.66,2018,5,11,2,11,2
polPhs_PAZ1.2018.131.18.11.G19_2010.2640_V05.nc,-53.92,-16.36,0.91,2018,5,11,18,11,57
polPhs_PAZ1.2018.131.23.44.G19_2010.2640_V05.nc,53.14,86.88,2.64,2018,5,11,23,44,52
polPhs_PAZ1.2018.131.10.41.G30_2010.2640_V05.nc,31.45,101.67,0.45,2018,5,11,10,41,22
polPhs_PAZ1.2018.131.16.07.G05_2010.2640_V05.nc,-12.81,-168.99,0.23,2018,5,11,16,6,55
polPhs_PAZ1.2018.131.09.52.G12_2010.2640_V05.nc,-30.10,-50.79,0.31,2018,5,11,9,52,28
polPhs_PAZ1.2018.131.16.46.G24_2010.2640_V05.nc,-9.15,36.92,0.25,2018,5,11,16,46,41
polPhs_PAZ1.2018.132.23.01.G30_2010.2640_V05.nc,24.39,-77.84,1.66,2018,5,12,23,0,55
polPhs_PAZ1.2018.132.20.15.G08_2010.2640_V05.nc,60.05,132.40,0.12,2018,5,12,20,15,5
polPhs_PAZ1.2018.132.22.06.G24_2010.2640_V05.nc,-3.56,132.16,0.45,2018,5,12,22,5,51
polPhs_PAZ1.2018.132.14.06.G31_2010.2640_V05.nc,13.56,-102.48,0.25,2018,5,12,14,5,57
polPhs_PAZ1.2018.132.14.49.G18_2010.2640_V05.nc,-38.72,38.38,1.81,2018,5,12,14,49,1
polPhs_PAZ1.2018.132.16.16.G06_2010.2640_V05.nc,-60.91,65.29,0.16,2018,5,12,16,16,23
polPhs_PAZ1.2018.132.06.13.G07_2010.2640_V05.nc,8.15,13.75,0.19,2018,5,12,6,13,38
polPhs_PAZ1.2018.132.05.15.G06_2010.2640_V05.nc,-57.54,-154.72,1.19,2018,5,12,5,15,32
polPhs_PAZ1.2018.132.07.11.G23_2010.2640_V05.nc,20.73,148.15,0.11,2018,5,12,7,10,52
polPhs_PAZ1.2018.132.05.24.G12_2010.2640_V05.nc,-21.82,-158.42,1.01,2018,5,12,5,24,27
polPhs_PAZ1.2018.132.03.56.G24_2010.2640_V05.nc,6.84,-137.80,0.72,2018,5,12,3,56,35
polPhs_PAZ1.2018.132.01.01.G24_2010.2640_V05.nc,54.54,-142.04,0.30,2018,5,12,1,1,15
polPhs_PAZ1.2018.132.07.51.G10_2010.2640_V05.nc,1.91,-43.36,4.89,2018,5,12,7,51,6
polPhs_PAZ1.2018.132.00.35.G08_2010.2640_V05.nc,-41.06,-86.63,3.13,2018,5,12,0,35,26
polPhs_PAZ1.2018.133.16.19.G12_2010.2640_V05.nc,11.40,33.83,1.32,2018,5,13,16,19,40
polPhs_PAZ1.2018.133.15.10.G31_2010.2640_V05.nc,54.77,-90.50,0.23,2018,5,13,15,9,59
polPhs_PAZ1.2018.133.01.44.G27_2010.2640_V05.nc,-64.26,-142.61,0.25,2018,5,13,1,44,10
